url,id,title,snippet,content,tags,upvoteCount,commentCount
https://roblox.fandom.com/f/p/4400000000000177747,4400000000000177747,Rainbow Friends art! ,"I decided to do Green because he's my favorite, lol. <3 I may not be so active btw- 💀 ...","I decided to do Green because he's my favorite, lol. <3I may not be so active btw- 💀",Roblox,1,0
https://roblox.fandom.com/f/p/4400000000000177738,4400000000000177738,the 2022 era has came for roblox,"i did make this roblox banner for youtube so yes, we do miss the 2017 and 2018 logo, sooo please no hate. ...","i did make this roblox banner for youtube so yes, we do miss the 2017 and 2018 logo, sooo please no hate.",Roblox,0,1
https://roblox.fandom.com/f/p/4400000000000177717,4400000000000177717,Should I reinstall roblox?,,,Roblox,0,2
https://roblox.fandom.com/f/p/4400000000000177681,4400000000000177681,The Future of Roblox,"I'm now creating a page about a future prediction for Roblox. This is only the beginning, so i would love to see some critique and suggestions ...","I'm now creating a page about a future prediction for Roblox. This is only the beginning, so i would love to see some critique and suggestions how to make it better.https://roblox.fandom.com/wiki/User:Legacy_of_Patcerum/The_Future_of_RobloxLegacy of Patcerum/The Future of RobloxRoblox Wiki",RobloxTimeline of Roblox historyRthroTimeline of Roblox history/2022,0,12
https://roblox.fandom.com/f/p/4400000000000177680,4400000000000177680,i wish hope,I hope roblox gets better in the future ...,I hope roblox gets better in the future,Roblox,4,2
https://roblox.fandom.com/f/p/4400000000000177683,4400000000000177683,Roblox new trailer!!,I found a new trailer for Roblox! ...,I found a new trailer for Roblox!App Store Trailer_Existing_UpdatedYouTube,Roblox,1,4
https://roblox.fandom.com/f/p/4400000000000177675,4400000000000177675,I can't click on anything,"When I join a roblox game, I can't click, it just moves my camera, how do I fix this plz (I don't use a mouse) ...","When I join a roblox game, I can't click, it just moves my camera, how do I fix this plz (I don't use a mouse)",Roblox,0,7
https://roblox.fandom.com/f/p/4400000000000177642,4400000000000177642,[Megathread] Roblox 2022 logo update,"Roblox has recently updated their logo slightly. To avoid Discussions being flooded with threads about this, we ask that you keep most discussion ...","Roblox has recently updated their logo slightly. To avoid Discussions being flooded with threads about this, we ask that you keep most discussion around the new logo to this megathread.https://roblox.fandom.com/wiki/File:Roblox_logo_white.svgRobloxRoblox WikiYes, the wiki will get to updating its logo slightly later, we're waiting for them to release the press kit since we need that to update it. Please don't bug us about it :)This thread is not for toxicity or being straight up rude to Roblox or other users. Please be respectful about other opinions, this is not a thread for debating and arguing.This is a megathread, meaning individual threads about this topic shouldn't be made! Please share all of that content in this thread.",Roblox,2,15
https://roblox.fandom.com/f/p/4400000000000177630,4400000000000177630,I need to get some things off my chest,there are around 430 items that was worth tix on roblox and they decided to make a handful of them limited and i ask myself why? Isn't the whole definition ...,"So i've found this wiki because i was looking through old tix items and i said to myself, in total there are around 430 items that was worth tix on roblox and they decided to make a handful of them limited and i ask myself why? Isn't the whole definition of limited items are items that was created by roblox and they no longer sell it? Why in the world would you make a tix dominus hat, a tix valkyrie and just completely forget about all the other tix items they've made?  That's truly unfair and very biased it doesn't matter if the item was worth 1 tix or 1million tix, their still considered limiteds. There are so much good tix items that you simple can't get anymore because it's literally untradable for no reason at all. I don't know how many items roblox has created and what are tradable or not but there's 400-430 items that was worth tix you can no longer get, let that sink in. Thank you for reading this and let me know what you think.",RobloxLimited item,3,3
https://roblox.fandom.com/f/p/4400000000000177535,4400000000000177535,Evade Page Created,"Hey uh, I created an Evade wiki page so if you guys feel  like changing or adding details I forgot is much appreciated (I made it during class :P ) ...","Hey uh, I created an Evade wiki page so if you guys feel  like changing or adding details I forgot is much appreciated (I made it during class :P )Hexagon Development Community/EvadeRoblox Wiki",RobloxGenre (disambiguation),0,0
https://roblox.fandom.com/f/p/4400000000000177459,4400000000000177459,What would happen if…,…David Baszucki and John Shedletsky discovered Roblox Footage Archives? What it is: https://youtu.be/HWkdH4IJRws https://youtu.be/0kyOpuSDzKo ...,…David Baszucki and John Shedletsky discovered Roblox Footage Archives?What it is:https://youtu.be/HWkdH4IJRwshttps://youtu.be/0kyOpuSDzKo Roblox's Darkest ARG: Footage Archives BrainwashingYouTubeRoblox Footage Archives: Roblox's Best Forgotten ARGYouTube,Roblox,0,6
https://roblox.fandom.com/f/p/4400000000000177447,4400000000000177447,Im sorry but i don't remember there being here 😭 [Screenshots],r Roblox update please this is so wierd 😭 Also click on the pictures for sm reason its cutted but why is a robux sign near the play button ...,,,,
https://roblox.fandom.com/f/p/4400000000000177410,4400000000000177410,Send me some Roblox Icebergs!,"You go send me some iceberg images about Roblox history, and I'll try to answer them! No NSFW entries. ...","You go send me some iceberg images about Roblox history, and I'll try to answer them!No NSFW entries.",RobloxIce,0,1
https://roblox.fandom.com/f/p/4400000000000177390,4400000000000177390,i need this without the old roblox logo pls,,,Roblox,1,3
https://roblox.fandom.com/f/p/4400000000000177360,4400000000000177360,Doing this too ,Drawing your Roblox avatars (digital)  Or making BlockStar parts of them Example of my BlockStar parts- ...,Drawing your Roblox avatars (digital) Or making BlockStar parts of themExample of my BlockStar parts-,Roblox,3,31
https://roblox.fandom.com/f/p/4400000000000177349,4400000000000177349,Rudolph,Rudolph head accessory missing here D:  how many purchases does this have? ...,Rudolph head accessory missing here D:  how many purchases does this have?,Roblox,4,0
https://roblox.fandom.com/f/p/4400000000000177342,4400000000000177342,I've waited hours to go on Roblox and it's still not loading can someone help,,,Roblox,0,1
https://roblox.fandom.com/f/p/4400000000000177329,4400000000000177329,On what device you prefer to play roblox?,,,RobloxDeviceType,,4
https://roblox.fandom.com/f/p/4400000000000177310,4400000000000177310,Hi there! What’s your favorite roblox game?,"I’m Linda. Nice to meet you. I’m new here, but has been on fandom for a few months. I like playing roblox, because I’m on this wiki and ...","I’m Linda. Nice to meet you. I’m new here, but has been on fandom for a few months. I like playing roblox, because I’m on this wiki and everything. My favorite game is dance off.What’s yours?",Roblox,0,15
