,userid,username,followers,tweets,profile_desc,location,verified,entities,search_term
0,1486720642418307080,DitchedinMiami,396,6973,"Juno the grey wolf’s main bitch😻,True YB fan💕, IM NOT GAY👨‍❤️‍👨❌, Tyler and Mid Cudi fans DNI!!,YB is just better, #LaloDay","Pizza hut dumpster, Miami",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/f49XVGBUA4', 'expanded_url': 'https://www.fallguyssex.com/damndaniel', 'display_url': 'fallguyssex.com/damndaniel'}]}, 'description': {'hashtags': [{'start': 115, 'end': 123, 'tag': 'LaloDay'}]}}",233532
1,1540942311525298177,olix_fan_page,0,3,olix fan page,,False,,233532
2,1093775418677739520,OlixYT,4705,784,"roblox star cre- nvm 😭

https://t.co/bTkpbqc2to",bobux land,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/7ED7U4J70u', 'expanded_url': 'http://youtube.com/olixrb', 'display_url': 'youtube.com/olixrb'}]}, 'description': {'urls': [{'start': 24, 'end': 47, 'url': 'https://t.co/bTkpbqc2to', 'expanded_url': 'http://discord.gg/olix', 'display_url': 'discord.gg/olix'}]}}",233532
3,1367681473961029632,Anthony47534658,10,174,"hi! I’m Anthony. I’m 17 years old and I love toys! I have autism. on my Twitter, i play with my toys, eat my fave food, build layouts with my trains, and more!",,False,,233532
4,1447971582329212928,EngineOnly,1,42,"Hi Guys, I'm Benjamin Collins, or known as The Only Engine. I'm 17. Love voicing Thomas, Creator of The Adventures of Thomas, I love Thomas and Cars.","25 Bamburgh Drive, Seaham",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/BAPlhmFcqX', 'expanded_url': 'https://www.youtube.com/channel/UCxHsnrCLI2UMxLCoCrqMLNA', 'display_url': 'youtube.com/channel/UCxHsn…'}]}}",233532
5,1322086688848564225,_TTGD_Roblox,2493,725,"An upcoming Roblox Thomas and Friends game based on the HiT Entertainment Era!

Account run by @Kool_Aid203",,False,"{'description': {'mentions': [{'start': 95, 'end': 107, 'username': 'Kool_Aid203'}]}}",233532
6,1313946082838081536,colleiMain,406,14939,otori emu uses neopronouns,"he xe mew bun it
pfp @kseichu_
mw weeklies ",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/43WcrMWcXR', 'expanded_url': 'https://xn--ti8h.ju.mp', 'display_url': '🍓.ju.mp'}]}}",233532
7,937097381597683713,dinosaurpain,99,16163,just a creature on the internet | she/they | #BLM #StopAsianHate | NFT = block on sight,your mom's house,False,"{'description': {'hashtags': [{'start': 45, 'end': 49, 'tag': 'BLM'}, {'start': 50, 'end': 64, 'tag': 'StopAsianHate'}]}}",233532
8,1305620605828395008,pweep_3001,185,27712,art @pweep_art ☆ creator of @centenarycog ☆ @sodafan006 ♡,they/them,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/FKmzwHgAfl', 'expanded_url': 'https://txti.es/pweep', 'display_url': 'txti.es/pweep'}]}, 'description': {'mentions': [{'start': 4, 'end': 14, 'username': 'pweep_art'}, {'start': 28, 'end': 41, 'username': 'centenarycog'}, {'start': 44, 'end': 55, 'username': 'sodafan006'}]}}",233532
9,1264443573853810693,boysnooki,16,1628,@aXyssM my best friend they a real bad bitch !!!,11/30/21 🤍 ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/pwIer3LOiD', 'expanded_url': 'https://solidsnake1972.carrd.co', 'display_url': 'solidsnake1972.carrd.co'}]}, 'description': {'mentions': [{'start': 0, 'end': 7, 'username': 'aXyssM'}]}}",233532
