url,id,title,snippet,created_date
https://www.neogaf.com/threads/roblox-famous-oof-sound-effect-is-now-gone.1639593/,,"Roblox famous ""oof"" sound effect is now gone","https://www.gamesradar.com/robloxs-famous-oof-sound-effect-is-now-gone/

Roblox has entirely removed the famed ""oof"" death sound from all its player-created games.

Announced yesterday via the official Roblox Twitter account, the developer has revealed that the ""oof"" sound has already been...",2022-07-28T22:24:24+0100
https://www.neogaf.com/threads/sonic-speed-simulator-x-roblox-gameplay-trailer.1637544/,,Sonic Speed Simulator x Roblox - Gameplay Trailer,,2022-06-08T00:44:59+0100
https://www.neogaf.com/threads/roblox-bigger-than-nintendo.1625996/,,Roblox bigger than Nintendo?,"...interesting fact that I learnt today based off one of the interesting Twitter threads going around the place about the exploitative nature of Roblox towards devs/consumers.

This is also more of an indictment of the stock market than a 'real' valuation of the two companies although the market...",2021-12-14T12:03:22+0000
https://www.neogaf.com/threads/everywhere-announced-at-gamescom-2022-game-by-gta-boss-leslie-benzies.1640488/post-266494035,post-266494035,Everywhere announced at Gamescom 2022 (Game by GTA boss Leslie Benzies),Guessing this is Roblox with better graphics.,2022-08-23T20:30:04+0100
https://www.neogaf.com/threads/i-much-prefer-turn-based-battle-systems-in-rpgs-particularly-jrpgs-what-do-you-prefer.1639951/post-266451136,post-266451136,I much prefer turn based battle systems in RPGs. Particularly JRPGs. What do you prefer?,Whatever fortnite and Roblox are!,2022-08-09T00:38:07+0100
https://www.neogaf.com/threads/will-the-metaverse-replace-social-media-will-it-be-better-or-worse.1640754/post-266513659,post-266513659,Will the metaverse replace social media? Will it be better or worse?,"That looks like some Roblox level bullshit, who the fuck is actually hyped for this?",2022-08-29T13:14:02+0100
https://www.neogaf.com/threads/everywhere-announced-at-gamescom-2022-game-by-gta-boss-leslie-benzies.1640488/post-266494544,post-266494544,Everywhere announced at Gamescom 2022 (Game by GTA boss Leslie Benzies),"Roblox has 50m daily active users. This could potentially be huge, but it's a longshot.",2022-08-23T21:10:40+0100
https://www.neogaf.com/threads/nft-games-are-better-than-traditional-games-urvit-goel.1640271/post-266477750,post-266477750,"NFT Games Are Better Than Traditional Games, Urvit Goel","Roblox is huge, so others obviously want to jump on that train too. It's inevitable.",2022-08-18T11:10:54+0100
https://www.neogaf.com/threads/a-new-law-states-that-only-one-video-game-can-exists-you-were-chosen-to-pick-the-game-what-do-you-choose.1638930/post-266368537,post-266368537,A new law states that only one video game can exists. You were chosen to pick the game. What do you choose?,"...game for almost 3 years now and it's still fun to me... so this has the highest probability to keep me occupied

close contenders Minecraft or Roblox, which would be kinda cheating because especially Roblox is almost more like a game engine more than a game, meaning you can basically make...",2022-07-11T23:42:22+0100
https://www.neogaf.com/threads/everywhere-announced-at-gamescom-2022-game-by-gta-boss-leslie-benzies.1640488/post-266494442,post-266494442,Everywhere announced at Gamescom 2022 (Game by GTA boss Leslie Benzies),Get ready for a lot of  metaverse/ ready player one  / roblox for adults .. games.. to flood the market the next 3 years,2022-08-23T21:00:09+0100
https://www.neogaf.com/threads/if-you-had-a-child-how-would-you-introduce-them-to-gaming.1639203/post-266425456,post-266425456,"If you had a child, how would you introduce them to gaming?","Unplugged and away from Roblox as long as possible.   That ship had sailed for me but others can be saved.
=(",2022-07-30T22:18:50+0100
https://www.neogaf.com/threads/former-gta-boss%E2%80%99s-new-game-everywhere-will-be-a-%E2%80%98real-life-ready-player-one%E2%80%99.1636196/post-266123762,post-266123762,Former GTA Boss’s new game Everywhere will be a ‘real life Ready Player One’,Roblox + Minecraft?,2022-05-04T19:01:58+0100
https://www.neogaf.com/threads/soulframe-reveal-trailer.1639181/post-266385707,post-266385707,Soulframe - Reveal Trailer,don't insult Roblox developers like that!,2022-07-17T02:13:47+0100
https://www.neogaf.com/threads/whats-the-some-of-the-most-hyped-popular-games-that-youve-never-played.1636557/post-266157910,post-266157910,What's the some of the most hyped/popular games that you've never played?,I've never played Roblox.,2022-05-12T21:45:02+0100
https://www.neogaf.com/threads/everywhere-announced-at-gamescom-2022-game-by-gta-boss-leslie-benzies.1640488/post-266494406,post-266494406,Everywhere announced at Gamescom 2022 (Game by GTA boss Leslie Benzies),That's the feeling I got.  Could be massive if that's the case.,2022-08-23T20:56:39+0100
https://www.neogaf.com/threads/roblox-famous-oof-sound-effect-is-now-gone.1639593/post-266424588,post-266424588,"Roblox famous ""oof"" sound effect is now gone","Wow, he must have been making bank. No wonder he didn't put any effort into the Amico.",2022-07-30T12:30:27+0100
