title,url,id,subtitle,snippet,replies,views,username
Roblox toolbox has a problem,https://www.robloxforum.com/threads/roblox-toolbox-has-a-problem.88468/post-521151,521151,Everything Roblox,Roblox toolbox basically:,5,212,2021-10-28T09:43:44-0400
Roblox Voice chat,https://www.robloxforum.com/threads/roblox-voice-chat.67584/post-369104,369104,Everything Roblox,Roblox,10,514,2021-03-09T13:13:44-0500
Roblox is really good as Youtube,https://www.robloxforum.com/threads/roblox-is-really-good-as-youtube.16962/post-105843,105843,Everything Roblox,Roblox is really good as Youtube because roblox has chat filter. am I right?,3,775,2018-06-21T10:40:15-0400
Roblox Medieval 2019 Event Is Cancelled,https://www.robloxforum.com/threads/roblox-medieval-2019-event-is-cancelled.37277/post-179154,179154,Everything Roblox,"Roblox Medieval 2019 Event Was Really Disappointed, Now Begin Roblox Toys Event, Next Year.",2,589,2019-01-14T15:30:57-0500
Roblox is funner,https://www.robloxforum.com/threads/roblox-is-funner.18883/post-115492,115492,Everything Roblox,Roblox has more games to play than Fortnite,3,485,2018-07-10T12:42:08-0400
Roblox Forum,https://www.robloxforum.com/threads/roblox-forum.133/post-660,660,Game Design,roblox forum we are the new roblox forum so we need more people!!! shout it out everywhere,7,1K,2017-12-09T21:18:18-0500
Roblox+ Is weird,https://www.robloxforum.com/threads/roblox-is-weird.15655/post-98144,98144,General Discussion,"Roblox+ calls my alt (0x1m) Zero by One meter
?",7,791,2018-06-05T01:45:54-0400
Roblox should accept other languages and not tag them.,https://www.robloxforum.com/threads/roblox-should-accept-other-languages-and-not-tag-them.86765/post-511381,511381,Everything Roblox,Roblox should not tag all languages,1,132,2021-10-10T05:55:35-0400
roblox is having issues again,https://www.robloxforum.com/threads/roblox-is-having-issues-again.90073/post-530443,530443,Everything Roblox,roblox chat filter is slowing down in some games,2,322,2021-11-28T04:28:46-0500
Roblox news The New Roblox TOS,https://www.robloxforum.com/threads/roblox-news-the-new-roblox-tos.86491/post-509797,509797,Everything Roblox,Roblox updated their rules and it has caused tons of drama. Users hate the new Community Standards and wonder what the recent TOS changes could do to the platform. Feel free to watch the video for more. The New Roblox TOS make no sense - YouTube,3,227,2021-10-06T15:46:26-0400
Roblox,https://www.robloxforum.com/threads/roblox.18881/post-115483,115483,Everything Roblox,"Roblox is more funner than Fornite because Roblox has more games you could try out, but Fornite doesn't.",2,337,2018-07-10T12:29:44-0400
