,owner,is_accepted,score,last_activity_date,creation_date,answer_id,question_id,content_license,comment,last_edit_date,community_owned_date
0,"{'account_id': 17686754, 'reputation': 346, 'user_id': 12839543, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1b40b5913fd6b3dd0452414a537c4f1d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Vector3', 'link': 'https://stackoverflow.com/users/12839543/vector3'}",True,1,1659041751,1659041751,73159063,73158399,CC BY-SA 4.0,[],,
1,"{'account_id': 3407423, 'reputation': 24824, 'user_id': 2858170, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b4263428b9b0e0aed365e264c7a2b044?s=256&d=identicon&r=PG&f=1', 'display_name': 'Piglet', 'link': 'https://stackoverflow.com/users/2858170/piglet'}",False,0,1659041127,1659041127,73158981,73158399,CC BY-SA 4.0,[],,
2,"{'account_id': 3410118, 'reputation': 4639, 'user_id': 2860267, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/bh9em.jpg?s=256&g=1', 'display_name': 'Kylaaa', 'link': 'https://stackoverflow.com/users/2860267/kylaaa'}",False,0,1659011365,1659010981,73152851,73143983,CC BY-SA 4.0,"[{'owner': {'account_id': 25886112, 'reputation': 1, 'user_id': 19620381, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucpELwenwd5t6YaykhnWSsWSULLRna3OvIJQOyUStg=k-s256', 'display_name': 'rufu', 'link': 'https://stackoverflow.com/users/19620381/rufu'}, 'edited': False, 'score': 0, 'creation_date': 1659031325, 'post_id': 73152851, 'comment_id': 129204939, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 25886112, 'reputation': 1, 'user_id': 19620381, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucpELwenwd5t6YaykhnWSsWSULLRna3OvIJQOyUStg=k-s256', 'display_name': 'rufu', 'link': 'https://stackoverflow.com/users/19620381/rufu'}, 'edited': False, 'score': 0, 'creation_date': 1659029429, 'post_id': 73152851, 'comment_id': 129204308, 'content_license': 'CC BY-SA 4.0'}]",1659011365.0,
3,"{'account_id': 3407423, 'reputation': 24824, 'user_id': 2858170, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b4263428b9b0e0aed365e264c7a2b044?s=256&d=identicon&r=PG&f=1', 'display_name': 'Piglet', 'link': 'https://stackoverflow.com/users/2858170/piglet'}",False,0,1658987127,1658987127,73147799,73140925,CC BY-SA 4.0,[],,
4,"{'account_id': 25903850, 'reputation': 1, 'user_id': 19629230, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmnFjz-apT0UszzWoDZoGMWLLXBpLulGnMV2AwoW=k-s256', 'display_name': 'Ahmed Abdul Hassem Osman Sjari', 'link': 'https://stackoverflow.com/users/19629230/ahmed-abdul-hassem-osman-sjari'}",False,0,1658886786,1658886786,73131456,73130128,CC BY-SA 4.0,[],,
5,"{'account_id': 3410118, 'reputation': 4639, 'user_id': 2860267, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/bh9em.jpg?s=256&g=1', 'display_name': 'Kylaaa', 'link': 'https://stackoverflow.com/users/2860267/kylaaa'}",False,0,1658876911,1658876911,73130634,73128503,CC BY-SA 4.0,"[{'owner': {'account_id': 25901927, 'reputation': 1, 'user_id': 19627670, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cf8f8bacfddbd7093a47ba099e013e5d?s=256&d=identicon&r=PG', 'display_name': 'funnyllama1', 'link': 'https://stackoverflow.com/users/19627670/funnyllama1'}, 'edited': False, 'score': 0, 'creation_date': 1658954098, 'post_id': 73130634, 'comment_id': 129183464, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 3410118, 'reputation': 4639, 'user_id': 2860267, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/bh9em.jpg?s=256&g=1', 'display_name': 'Kylaaa', 'link': 'https://stackoverflow.com/users/2860267/kylaaa'}, 'reply_to_user': {'account_id': 25901927, 'reputation': 1, 'user_id': 19627670, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cf8f8bacfddbd7093a47ba099e013e5d?s=256&d=identicon&r=PG', 'display_name': 'funnyllama1', 'link': 'https://stackoverflow.com/users/19627670/funnyllama1'}, 'edited': False, 'score': 0, 'creation_date': 1658949730, 'post_id': 73130634, 'comment_id': 129182181, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 25901927, 'reputation': 1, 'user_id': 19627670, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cf8f8bacfddbd7093a47ba099e013e5d?s=256&d=identicon&r=PG', 'display_name': 'funnyllama1', 'link': 'https://stackoverflow.com/users/19627670/funnyllama1'}, 'edited': False, 'score': 0, 'creation_date': 1658933992, 'post_id': 73130634, 'comment_id': 129176386, 'content_license': 'CC BY-SA 4.0'}]",,
6,"{'account_id': 17176341, 'reputation': 1, 'user_id': 12432452, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mBL8OXHiSi2WIvXZ8m4tsy1PvtzKKm-QHOvn77UWw=k-s256', 'display_name': 'Dominexus', 'link': 'https://stackoverflow.com/users/12432452/dominexus'}",False,0,1658862328,1658862328,73128543,73128503,CC BY-SA 4.0,"[{'owner': {'account_id': 25901927, 'reputation': 1, 'user_id': 19627670, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cf8f8bacfddbd7093a47ba099e013e5d?s=256&d=identicon&r=PG', 'display_name': 'funnyllama1', 'link': 'https://stackoverflow.com/users/19627670/funnyllama1'}, 'edited': False, 'score': 0, 'creation_date': 1658864224, 'post_id': 73128543, 'comment_id': 129156769, 'content_license': 'CC BY-SA 4.0'}]",,
7,"{'account_id': 22619511, 'reputation': 16, 'user_id': 18526915, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxsWAgAzlaLPEgnaHeq6tylVkluD-9kpyAuP_4P=k-s256', 'display_name': 'Egor', 'link': 'https://stackoverflow.com/users/18526915/egor'}",True,0,1658855358,1658855358,73127288,73124705,CC BY-SA 4.0,[],,
8,"{'account_id': 20284783, 'reputation': 19, 'user_id': 14877696, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/vXxVm.png?s=256&g=1', 'display_name': 'Lubaba Ell', 'link': 'https://stackoverflow.com/users/14877696/lubaba-ell'}",False,0,1658824838,1658824838,73120232,73119125,CC BY-SA 4.0,"[{'owner': {'account_id': 1916259, 'reputation': 3789, 'user_id': 1728790, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/eENW3.jpg?s=256&g=1', 'display_name': 'demouser123', 'link': 'https://stackoverflow.com/users/1728790/demouser123'}, 'edited': False, 'score': 3, 'creation_date': 1658825513, 'post_id': 73120232, 'comment_id': 129141711, 'content_license': 'CC BY-SA 4.0'}]",,
9,"{'account_id': 7550200, 'reputation': 1762, 'user_id': 7504558, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ExaMw.png?s=256&g=1', 'display_name': 'Mike V.', 'link': 'https://stackoverflow.com/users/7504558/mike-v'}",False,0,1658816318,1658816318,73118495,73117672,CC BY-SA 4.0,"[{'owner': {'account_id': 25879828, 'reputation': 28, 'user_id': 19609110, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucoYgNWQpZYj747UivbQtoEWdcsDKC47GAivP5x-mg=k-s256', 'display_name': 'Fabiano Madeira', 'link': 'https://stackoverflow.com/users/19609110/fabiano-madeira'}, 'edited': False, 'score': 0, 'creation_date': 1658856682, 'post_id': 73118495, 'comment_id': 129154407, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 7550200, 'reputation': 1762, 'user_id': 7504558, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ExaMw.png?s=256&g=1', 'display_name': 'Mike V.', 'link': 'https://stackoverflow.com/users/7504558/mike-v'}, 'reply_to_user': {'account_id': 25879828, 'reputation': 28, 'user_id': 19609110, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucoYgNWQpZYj747UivbQtoEWdcsDKC47GAivP5x-mg=k-s256', 'display_name': 'Fabiano Madeira', 'link': 'https://stackoverflow.com/users/19609110/fabiano-madeira'}, 'edited': False, 'score': 0, 'creation_date': 1658851610, 'post_id': 73118495, 'comment_id': 129152515, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 25879828, 'reputation': 28, 'user_id': 19609110, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucoYgNWQpZYj747UivbQtoEWdcsDKC47GAivP5x-mg=k-s256', 'display_name': 'Fabiano Madeira', 'link': 'https://stackoverflow.com/users/19609110/fabiano-madeira'}, 'edited': False, 'score': 0, 'creation_date': 1658841510, 'post_id': 73118495, 'comment_id': 129148053, 'content_license': 'CC BY-SA 4.0'}]",,
