,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,comment,last_edit_date,closed_date,closed_reason,protected_date,migrated_from
0,"['lua', 'roblox', 'luau']","{'account_id': 21784089, 'reputation': 21, 'user_id': 16085419, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bd1f62c8188341e56a6eefc0d70f890b?s=256&d=identicon&r=PG&f=1', 'display_name': 'oofsamy', 'link': 'https://stackoverflow.com/users/16085419/oofsamy'}",True,37,73159063.0,2,0,1659041751,1659037465,73158399,CC BY-SA 4.0,https://stackoverflow.com/questions/73158399/getting-substrings-in-luau,Getting substrings in LuaU,"[{'owner': {'account_id': 37136, 'reputation': 51030, 'user_id': 106104, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/c88b9310b92a937108ec4336c2832f92?s=256&d=identicon&r=PG', 'display_name': 'user253751', 'link': 'https://stackoverflow.com/users/106104/user253751'}, 'edited': False, 'score': 0, 'creation_date': 1659039044, 'post_id': 73158399, 'comment_id': 129207108, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 37136, 'reputation': 51030, 'user_id': 106104, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/c88b9310b92a937108ec4336c2832f92?s=256&d=identicon&r=PG', 'display_name': 'user253751', 'link': 'https://stackoverflow.com/users/106104/user253751'}, 'edited': False, 'score': 0, 'creation_date': 1659038859, 'post_id': 73158399, 'comment_id': 129207041, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 2073637, 'reputation': 22633, 'user_id': 1847592, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/OvYt2.png?s=256&g=1', 'display_name': 'Egor Skriptunoff', 'link': 'https://stackoverflow.com/users/1847592/egor-skriptunoff'}, 'edited': False, 'score': 0, 'creation_date': 1659038800, 'post_id': 73158399, 'comment_id': 129207018, 'content_license': 'CC BY-SA 4.0'}]",,,,,
1,"['javascript', 'roblox']","{'account_id': 21617701, 'reputation': 1, 'user_id': 15943239, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ab3745128f4a476a17c9c7bf70435eb2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Doct0r_Br1ght', 'link': 'https://stackoverflow.com/users/15943239/doct0r-br1ght'}",False,13,,0,0,1659028812,1659028812,73156849,CC BY-SA 4.0,https://stackoverflow.com/questions/73156849/can-you-detect-when-robux-finish-pending-with-the-noblox-js-module,Can you detect when robux finish pending with the noblox.js module?,[],,,,,
2,['graylog'],"{'account_id': 4184289, 'reputation': 41, 'user_id': 3428410, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/uo0DX.jpg?s=256&g=1', 'display_name': 'Dave&#39;s Undies', 'link': 'https://stackoverflow.com/users/3428410/daves-undies'}",False,9,,0,0,1659022561,1659022561,73155485,CC BY-SA 4.0,https://stackoverflow.com/questions/73155485/basic-graylog-search-have-input-pulling-sophos-xg-logs-cannot-do-a-simple-sea,"basic graylog search - have input pulling sophos xg logs, cannot do a simple search on data that is clearly present",[],,,,,
3,"['python', 'python-requests', 'request', 'passwords', 'roblox']","{'account_id': 24452702, 'reputation': 1, 'user_id': 18374706, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gi5vIrYKja1N9zHGyLU2r2uBaAlNG9CiF2UJIt5=k-s256', 'display_name': 'DemonZ', 'link': 'https://stackoverflow.com/users/18374706/demonz'}",False,13,,0,0,1659005750,1659005750,73151689,CC BY-SA 4.0,https://stackoverflow.com/questions/73151689/how-to-change-roblox-password-with-python,How to change roblox password with python,[],,,,,
4,"['captcha', 'roblox']","{'account_id': 25449905, 'reputation': 1, 'user_id': 19251524, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjsuG6i79SQQKQ5cPD8QEQk--ARW3VpAXCUrRY4=k-s256', 'display_name': 'RunNow', 'link': 'https://stackoverflow.com/users/19251524/runnow'}",False,12,,0,0,1658996982,1658996982,73149601,CC BY-SA 4.0,https://stackoverflow.com/questions/73149601/how-would-i-get-the-link-to-the-roblox-captcha-ui-website,How would I get the link to the roblox captcha ui website?,[],,,,,
5,"['javascript', 'node.js', 'discord', 'discord.js']","{'account_id': 23357738, 'reputation': 167, 'user_id': 17430483, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ght-rPvBMoKQXsm6RjeVaczLdZK71NnIA7Il-hbkA=k-s256', 'display_name': 'Hamoodi youtube', 'link': 'https://stackoverflow.com/users/17430483/hamoodi-youtube'}",False,27,,0,1,1658970168,1658970168,73146124,CC BY-SA 4.0,https://stackoverflow.com/questions/73146124/discord-modals-failing-on-phones-discord-js,Discord-Modals failing on phones. Discord.js,"[{'owner': {'account_id': 23357738, 'reputation': 167, 'user_id': 17430483, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ght-rPvBMoKQXsm6RjeVaczLdZK71NnIA7Il-hbkA=k-s256', 'display_name': 'Hamoodi youtube', 'link': 'https://stackoverflow.com/users/17430483/hamoodi-youtube'}, 'edited': False, 'score': 0, 'creation_date': 1659009187, 'post_id': 73146124, 'comment_id': 129196542, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 21423309, 'reputation': 7987, 'user_id': 15781079, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/NzivY.jpg?s=256&g=1', 'display_name': 'MrMythical', 'link': 'https://stackoverflow.com/users/15781079/mrmythical'}, 'edited': False, 'score': 0, 'creation_date': 1658976091, 'post_id': 73146124, 'comment_id': 129187498, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 23357738, 'reputation': 167, 'user_id': 17430483, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ght-rPvBMoKQXsm6RjeVaczLdZK71NnIA7Il-hbkA=k-s256', 'display_name': 'Hamoodi youtube', 'link': 'https://stackoverflow.com/users/17430483/hamoodi-youtube'}, 'reply_to_user': {'account_id': 23651407, 'reputation': 832, 'user_id': 17680233, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/qtz4n.jpg?s=256&g=1', 'display_name': '新Acesyyy', 'link': 'https://stackoverflow.com/users/17680233/%e6%96%b0acesyyy'}, 'edited': False, 'score': 0, 'creation_date': 1658975660, 'post_id': 73146124, 'comment_id': 129187441, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 23651407, 'reputation': 832, 'user_id': 17680233, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/qtz4n.jpg?s=256&g=1', 'display_name': '新Acesyyy', 'link': 'https://stackoverflow.com/users/17680233/%e6%96%b0acesyyy'}, 'edited': False, 'score': 0, 'creation_date': 1658971547, 'post_id': 73146124, 'comment_id': 129186834, 'content_license': 'CC BY-SA 4.0'}]",,,,,
6,"['lua', 'roblox']","{'account_id': 25886112, 'reputation': 1, 'user_id': 19620381, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucpELwenwd5t6YaykhnWSsWSULLRna3OvIJQOyUStg=k-s256', 'display_name': 'rufu', 'link': 'https://stackoverflow.com/users/19620381/rufu'}",False,48,,1,0,1659011365,1658952010,73143983,CC BY-SA 4.0,https://stackoverflow.com/questions/73143983/how-can-i-make-playergui-code-run-on-a-server-script,How can i make PlayerGui Code run on a server script?,"[{'owner': {'account_id': 25886112, 'reputation': 1, 'user_id': 19620381, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucpELwenwd5t6YaykhnWSsWSULLRna3OvIJQOyUStg=k-s256', 'display_name': 'rufu', 'link': 'https://stackoverflow.com/users/19620381/rufu'}, 'reply_to_user': {'account_id': 3410118, 'reputation': 4639, 'user_id': 2860267, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/bh9em.jpg?s=256&g=1', 'display_name': 'Kylaaa', 'link': 'https://stackoverflow.com/users/2860267/kylaaa'}, 'edited': False, 'score': 1, 'creation_date': 1658964235, 'post_id': 73143983, 'comment_id': 129185657, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 25886112, 'reputation': 1, 'user_id': 19620381, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucpELwenwd5t6YaykhnWSsWSULLRna3OvIJQOyUStg=k-s256', 'display_name': 'rufu', 'link': 'https://stackoverflow.com/users/19620381/rufu'}, 'reply_to_user': {'account_id': 3410118, 'reputation': 4639, 'user_id': 2860267, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/bh9em.jpg?s=256&g=1', 'display_name': 'Kylaaa', 'link': 'https://stackoverflow.com/users/2860267/kylaaa'}, 'edited': False, 'score': 0, 'creation_date': 1658964219, 'post_id': 73143983, 'comment_id': 129185654, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 3410118, 'reputation': 4639, 'user_id': 2860267, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/bh9em.jpg?s=256&g=1', 'display_name': 'Kylaaa', 'link': 'https://stackoverflow.com/users/2860267/kylaaa'}, 'edited': False, 'score': 0, 'creation_date': 1658960274, 'post_id': 73143983, 'comment_id': 129184975, 'content_license': 'CC BY-SA 4.0'}]",1659009119.0,,,,
7,['github'],"{'account_id': 21891614, 'reputation': 1, 'user_id': 17637817, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/83ffaa0f7b06c1baee50ab41d97b675d?s=256&d=identicon&r=PG&f=1', 'display_name': 'amir2799', 'link': 'https://stackoverflow.com/users/17637817/amir2799'}",False,12,,0,-1,1658947143,1658947143,73143075,CC BY-SA 4.0,https://stackoverflow.com/questions/73143075/launching-an-exploit-from-github,launching an exploit from GitHub,"[{'owner': {'account_id': -1, 'reputation': 1, 'user_id': -1, 'user_type': 'moderator', 'profile_image': 'https://www.gravatar.com/avatar/a007be5a61f6aa8f3e85ae2fc18dd66e?s=256&d=identicon&r=PG', 'display_name': 'Community', 'link': 'https://stackoverflow.com/users/-1/community'}, 'edited': False, 'score': 0, 'creation_date': 1659018012, 'post_id': 73143075, 'comment_id': 129199941, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 71330, 'reputation': 6950, 'user_id': 206404, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/497437666710e8b13ee168bd7b62fcba?s=256&d=identicon&r=PG', 'display_name': 'Stephen Newell', 'link': 'https://stackoverflow.com/users/206404/stephen-newell'}, 'edited': False, 'score': 1, 'creation_date': 1658947360, 'post_id': 73143075, 'comment_id': 129181420, 'content_license': 'CC BY-SA 4.0'}]",,,,,
8,"['lua', 'scripting', 'game-development', 'roblox']","{'account_id': 25901927, 'reputation': 1, 'user_id': 19627670, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cf8f8bacfddbd7093a47ba099e013e5d?s=256&d=identicon&r=PG', 'display_name': 'funnyllama1', 'link': 'https://stackoverflow.com/users/19627670/funnyllama1'}",False,26,,0,-1,1658950552,1658943551,73142401,CC BY-SA 4.0,https://stackoverflow.com/questions/73142401/roblox-studio-script-problems,roblox studio script problems,"[{'owner': {'account_id': 25901927, 'reputation': 1, 'user_id': 19627670, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cf8f8bacfddbd7093a47ba099e013e5d?s=256&d=identicon&r=PG', 'display_name': 'funnyllama1', 'link': 'https://stackoverflow.com/users/19627670/funnyllama1'}, 'reply_to_user': {'account_id': 3410118, 'reputation': 4639, 'user_id': 2860267, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/bh9em.jpg?s=256&g=1', 'display_name': 'Kylaaa', 'link': 'https://stackoverflow.com/users/2860267/kylaaa'}, 'edited': False, 'score': 0, 'creation_date': 1658950349, 'post_id': 73142401, 'comment_id': 129182379, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 3410118, 'reputation': 4639, 'user_id': 2860267, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/bh9em.jpg?s=256&g=1', 'display_name': 'Kylaaa', 'link': 'https://stackoverflow.com/users/2860267/kylaaa'}, 'edited': False, 'score': 0, 'creation_date': 1658949632, 'post_id': 73142401, 'comment_id': 129182155, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 3410118, 'reputation': 4639, 'user_id': 2860267, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/bh9em.jpg?s=256&g=1', 'display_name': 'Kylaaa', 'link': 'https://stackoverflow.com/users/2860267/kylaaa'}, 'edited': False, 'score': 0, 'creation_date': 1658949488, 'post_id': 73142401, 'comment_id': 129182109, 'content_license': 'CC BY-SA 4.0'}]",1658950552.0,,,,
9,"['lua', 'scripting', 'roblox']","{'account_id': 25901927, 'reputation': 1, 'user_id': 19627670, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cf8f8bacfddbd7093a47ba099e013e5d?s=256&d=identicon&r=PG', 'display_name': 'funnyllama1', 'link': 'https://stackoverflow.com/users/19627670/funnyllama1'}",False,27,,1,0,1658987127,1658936604,73140925,CC BY-SA 4.0,https://stackoverflow.com/questions/73140925/attempt-to-call-an-instance-value,Attempt to call an instance value,"[{'owner': {'account_id': 9999747, 'reputation': 4252, 'user_id': 7396148, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/yIsr8.jpg?s=256&g=1', 'display_name': 'Nifim', 'link': 'https://stackoverflow.com/users/7396148/nifim'}, 'edited': False, 'score': 1, 'creation_date': 1658940323, 'post_id': 73140925, 'comment_id': 129179034, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 37136, 'reputation': 51030, 'user_id': 106104, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/c88b9310b92a937108ec4336c2832f92?s=256&d=identicon&r=PG', 'display_name': 'user253751', 'link': 'https://stackoverflow.com/users/106104/user253751'}, 'edited': False, 'score': 0, 'creation_date': 1658937212, 'post_id': 73140925, 'comment_id': 129177867, 'content_license': 'CC BY-SA 4.0'}]",1658940292.0,,,,
