tweetid,author_id,text,created_at,geo,retweets,replies,likes,quote_count,lang,conversation_id,context_annotations,entities,attachments,possibly_sensitive,withheld,reply_settings,source
1532154721074655236,1465138894685544448,@TFR_Roblox Ye,2022-06-02 00:18:46+00:00,,0,2,1,0,und,1532132374531694593,[],"{'mentions': [{'start': 0, 'end': 11, 'username': 'TFR_Roblox', 'id': '1432020244940328961'}]}",,False,,everyone,Twitter for Android
1531620715216117761,1254582074700414976,Pega lo que tengas copiado sin contexto,2022-05-31 12:56:49+00:00,,45,1552,3509,11,es,1531620715216117761,[],,,False,,everyone,Twitter Web App
1532172181123346434,1257865213925363718,@Xdark225 @Roblox Kkkkkkkkkkkkkkkkk foi clicar no discord nitro free,2022-06-02 01:28:09+00:00,,0,1,1,0,pt,1293733190729895937,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1168499224297656321', 'name': 'Discord'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}, {'domain': {'id': '165', 'name': 'Technology', 'description': 'for individual and types of technology, e.g., food technology, 3D printing'}, 'entity': {'id': '1196446161223028736', 'name': 'Social media'}}]","{'mentions': [{'start': 0, 'end': 9, 'username': 'Xdark225', 'id': '1291556856192815104'}, {'start': 10, 'end': 17, 'username': 'Roblox', 'id': '16745055'}]}",,False,,everyone,Twitter for Android
1532127696699940865,1488027395575713794,"@Roblox actually took down cridab because of the pride month update. unbelievable. this update had nothing sexual in it, just pride flags. @KonekoKittenYT https://t.co/N9ME6jp9e1",2022-06-01 22:31:23+00:00,,103,73,257,38,en,1532127696699940865,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'mentions': [{'start': 0, 'end': 7, 'username': 'Roblox', 'id': '16745055'}, {'start': 139, 'end': 154, 'username': 'KonekoKittenYT', 'id': '740824468541571072'}], 'urls': [{'start': 155, 'end': 178, 'url': 'https://t.co/N9ME6jp9e1', 'expanded_url': 'https://twitter.com/EggsPrince/status/1532127696699940865/photo/1', 'display_url': 'pic.twitter.com/N9ME6jp9e1', 'media_key': '3_1532127487542665217'}]}",{'media_keys': ['3_1532127487542665217']},False,,everyone,Twitter Web App
1532168942105399296,1328283739961520129,"TRADING MER 21
LF - ppm set,oa set,,parasol,goth lol purse,d cd heels coat corset,aphrodite's bag, mc sleeves,purse, hat, fur boa, cc loafers,gothicutie skirt,dd gloves,frozen luggage, fan 
IA - MY LF + A HALO 
#royalehigh #royalehighhalo #royalehightrades #royalehightrading",2022-06-02 01:15:16+00:00,,0,0,0,1,en,1532168942105399296,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1230882318224510978', 'name': 'Royale High'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '844603730221707264', 'name': 'Fashion', 'description': 'Fashion'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '1256236649253449729', 'name': 'Fashion & beauty'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '844604232737087488', 'name': 'General Fashion', 'description': 'General Fashion'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '839543390668673024', 'name': 'Fashion'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '846810837301932032', 'name': 'Shoes', 'description': 'Fashion'}}, {'domain': {'id': '173', 'name': 'Google Product Taxonomy', 'description': 'A product taxonomy created by Google'}, 'entity': {'id': '846810837301932032', 'name': 'Shoes', 'description': 'Fashion'}}]","{'hashtags': [{'start': 211, 'end': 222, 'tag': 'royalehigh'}, {'start': 223, 'end': 238, 'tag': 'royalehighhalo'}, {'start': 239, 'end': 256, 'tag': 'royalehightrades'}, {'start': 257, 'end': 275, 'tag': 'royalehightrading'}]}",,False,,everyone,Twitter Web App
1532077303878008835,344055005,"Totalmente... Sonic q é um dos chars mais legais do mundo, com um jogo q talvez de sono.
Fora as plataforma voadoras complexas q só de pensar como sobe nelas já dá canseira.
SonicFrontiers apenas parece entediante mesmo. Não sei como consertar isso :( https://t.co/bCnYtpM7Bm",2022-06-01 19:11:08+00:00,,8,25,267,1,pt,1532077303878008835,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596161376261', 'name': 'Dining'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597017083904', 'name': 'QSR'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026428621', 'name': 'Sonic Drive-In'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '825047692124442624', 'name': 'Food', 'description': 'Food'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '860133563332648963', 'name': 'Cuisines', 'description': 'Cuisines'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '847865239886417922', 'name': 'Fast food Restaurants', 'description': 'Fast food'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '993952643209773057', 'name': 'Sonic the Hedgehog', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable.\t\t\t\n\nNOTE: Stopped annotating in the Video Game domain (71) on 11/15/19. Moving forward, this entity will annotate to Multimedia Franchise domain (130) only.'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596161376261', 'name': 'Dining'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597017083904', 'name': 'QSR'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026428621', 'name': 'Sonic Drive-In'}}]","{'urls': [{'start': 252, 'end': 275, 'url': 'https://t.co/bCnYtpM7Bm', 'expanded_url': 'https://twitter.com/AlgoAleatorin/status/1532075479683203072', 'display_url': 'twitter.com/AlgoAleatorin/…'}]}",,False,,everyone,Twitter for iPhone
1532104013197475841,1328110660362924034,DURING PRIDE MONTH??? @Roblox https://t.co/EfjiWGeppG,2022-06-01 20:57:16+00:00,,5,10,23,2,en,1532104013197475841,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'mentions': [{'start': 22, 'end': 29, 'username': 'Roblox', 'id': '16745055'}], 'urls': [{'start': 30, 'end': 53, 'url': 'https://t.co/EfjiWGeppG', 'expanded_url': 'https://twitter.com/AnneCrossing_/status/1532104013197475841/photo/1', 'display_url': 'pic.twitter.com/EfjiWGeppG', 'media_key': '3_1532103045026308096'}]}",{'media_keys': ['3_1532103045026308096']},False,,everyone,Twitter Web App
1529861099193085953,1403701808430780417,@gucci @Roblox I need to pay 500 robux for play the game or what?,2022-05-26 16:24:44+00:00,,1,2,6,0,en,1529770336937562112,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596807299072', 'name': 'Apparel/Accessories'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1266401847104827392', 'name': 'Gucci'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '1256236649253449729', 'name': 'Fashion & beauty'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '839543390668673024', 'name': 'Fashion'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'mentions': [{'start': 0, 'end': 6, 'username': 'gucci', 'id': '16913418'}, {'start': 7, 'end': 14, 'username': 'Roblox', 'id': '16745055'}]}",,False,,everyone,Twitter for iPhone
1532150116936781825,25919401,What do you think of my new @Roblox Avatar? We are inspiring a new generation of leaders who will make a difference in the world. 💙🇺🇸#RobloxDev https://t.co/sT1Lg1xLCn,2022-06-02 00:00:28+00:00,,985,1048,7819,441,en,1532150116936781825,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'mentions': [{'start': 28, 'end': 35, 'username': 'Roblox', 'id': '16745055'}], 'hashtags': [{'start': 133, 'end': 143, 'tag': 'RobloxDev'}], 'urls': [{'start': 144, 'end': 167, 'url': 'https://t.co/sT1Lg1xLCn', 'expanded_url': 'https://twitter.com/AllenLEllison/status/1532150116936781825/video/1', 'display_url': 'pic.twitter.com/sT1Lg1xLCn', 'media_key': '7_1532150067322314762'}]}",{'media_keys': ['7_1532150067322314762']},False,,everyone,Twitter for iPhone
1532037853261221893,846545521439375360,@KreekCraft assnuts,2022-06-01 16:34:22+00:00,,19,23,988,2,en,1531982018627743752,[],"{'mentions': [{'start': 0, 'end': 11, 'username': 'KreekCraft', 'id': '3025674465'}]}",,False,,everyone,Twitter Web App
1532021324335423492,1039207449201389568,"@TopdogOG Idk the history behind it but to keep it a buck I think Topdog sounds little goofy (not exactly a bad thing) like man this mf think he the top DOG

U get special treatment, a 5/10 in coolness but a 7/10 in funniness from me 🐶",2022-06-01 15:28:41+00:00,,0,1,1,0,en,1531717889874608128,[],"{'mentions': [{'start': 0, 'end': 9, 'username': 'TopdogOG', 'id': '3191467758'}], 'annotations': [{'start': 66, 'end': 71, 'probability': 0.8417, 'type': 'Person', 'normalized_text': 'Topdog'}]}",,False,,everyone,Twitter for iPhone
1532171452673302528,1293616033383751681,"ACABO D VER UN QUE MONTÓN DE AMIGOS JUEGAN ROBLOX
el único amigo q tenía se fue así q no me queda nadie pa jugar (#(3=3)
Alguien quiere? https://t.co/DSRnPFEBWS",2022-06-02 01:25:15+00:00,,0,5,9,0,es,1532171452673302528,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'urls': [{'start': 137, 'end': 160, 'url': 'https://t.co/DSRnPFEBWS', 'expanded_url': 'https://twitter.com/Rainy_Rena/status/1532171452673302528/photo/1', 'display_url': 'pic.twitter.com/DSRnPFEBWS', 'media_key': '3_1532171450928570369'}]}",{'media_keys': ['3_1532171450928570369']},False,,everyone,Twitter for Android
1529770336937562112,16913418,Gucci Town is coming to @Roblox. Start exploring tomorrow. #AlessandroMichele #GucciTown https://t.co/0PvtDCKUAg,2022-05-26 10:24:04+00:00,,392,799,3731,163,en,1529770336937562112,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596807299072', 'name': 'Apparel/Accessories'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1266401847104827392', 'name': 'Gucci'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '1256236649253449729', 'name': 'Fashion & beauty'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '839543390668673024', 'name': 'Fashion'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'mentions': [{'start': 24, 'end': 31, 'username': 'Roblox', 'id': '16745055'}], 'hashtags': [{'start': 59, 'end': 77, 'tag': 'AlessandroMichele'}, {'start': 78, 'end': 88, 'tag': 'GucciTown'}], 'urls': [{'start': 89, 'end': 112, 'url': 'https://t.co/0PvtDCKUAg', 'expanded_url': 'https://twitter.com/gucci/status/1529770336937562112/photo/1', 'display_url': 'pic.twitter.com/0PvtDCKUAg', 'media_key': '3_1529770322639060992'}], 'annotations': [{'start': 0, 'end': 9, 'probability': 0.6118, 'type': 'Organization', 'normalized_text': 'Gucci Town'}]}",{'media_keys': ['3_1529770322639060992']},False,,everyone,Twitter Web App
1532172064785842178,1486068322538041348,Hey kid! want some free robux? hop on the van ^^ https://t.co/rIy2ZipEux,2022-06-02 01:27:41+00:00,,10,46,76,0,en,1532172064785842178,[],"{'urls': [{'start': 49, 'end': 72, 'url': 'https://t.co/rIy2ZipEux', 'expanded_url': 'https://twitter.com/10talyaYT/status/1532172064785842178/photo/1', 'display_url': 'pic.twitter.com/rIy2ZipEux', 'media_key': '3_1532171990785720321'}]}",{'media_keys': ['3_1532171990785720321']},False,,everyone,Twitter Web App
1532171999098851328,1167259774288875525,"@eaychl Dale, vamo con meowrachistas o al menos por el roblox KJSK",2022-06-02 01:27:25+00:00,,0,1,1,0,es,1532167342259511296,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'mentions': [{'start': 0, 'end': 7, 'username': 'eaychl', 'id': '1261847940009734153'}]}",,False,,everyone,Twitter Web App
1293733190729895937,1291556856192815104,@roblox my account was deleted by scam something yes i did more was in the joke disrespecting the roblox rule please never again i will do this recover my account https://t.co/7e0jAc5HtU,2020-08-13 02:16:43+00:00,,0,1,2,1,en,1293733190729895937,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'mentions': [{'start': 0, 'end': 7, 'username': 'Roblox', 'id': '16745055'}], 'urls': [{'start': 163, 'end': 186, 'url': 'https://t.co/7e0jAc5HtU', 'expanded_url': 'https://twitter.com/Xdark225/status/1293733190729895937/photo/1', 'display_url': 'pic.twitter.com/7e0jAc5HtU', 'media_key': '3_1293733180344864770'}]}",{'media_keys': ['3_1293733180344864770']},False,,everyone,Twitter Web App
1532022905554341893,1251677662810042371,How much Robux do you need?,2022-06-01 15:34:58+00:00,,387,5431,1433,19,en,1532022905554341893,[],,,False,,everyone,Twitter for iPhone
1532171252282101760,1188599343395278848,xd me encontre una janet https://t.co/CJBOUeiOm9,2022-06-02 01:24:27+00:00,,0,3,3,0,es,1532171252282101760,[],"{'urls': [{'start': 25, 'end': 48, 'url': 'https://t.co/CJBOUeiOm9', 'expanded_url': 'https://twitter.com/emanuel47956422/status/1532171252282101760/photo/1', 'display_url': 'pic.twitter.com/CJBOUeiOm9', 'media_key': '3_1532171177325625346'}]}",{'media_keys': ['3_1532171177325625346']},False,,everyone,Twitter Web App
1532147657480843264,865593156288602112,"ROBLOX FUN FACT: #RobloxDev 

The name color you have been assigned in chat since account creation is NOT random. Username colours are calculated, hence the ""name value"". There are 8 colors in total.

This is why changing your username changes the color as well. https://t.co/bNFg86670V",2022-06-01 23:50:42+00:00,,46,50,462,1,en,1532147657480843264,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'hashtags': [{'start': 17, 'end': 27, 'tag': 'RobloxDev'}], 'urls': [{'start': 263, 'end': 286, 'url': 'https://t.co/bNFg86670V', 'expanded_url': 'https://twitter.com/Jonah_RBX/status/1532147657480843264/photo/1', 'display_url': 'pic.twitter.com/bNFg86670V', 'media_key': '3_1532144997633490947'}, {'start': 263, 'end': 286, 'url': 'https://t.co/bNFg86670V', 'expanded_url': 'https://twitter.com/Jonah_RBX/status/1532147657480843264/photo/1', 'display_url': 'pic.twitter.com/bNFg86670V', 'media_key': '3_1532146293124087808'}]}","{'media_keys': ['3_1532144997633490947', '3_1532146293124087808']}",False,,everyone,Twitter Web App
