media_key,media_type,alt_text,duration_ms
3_1537877166733479936,photo,,
3_1537877284559912963,photo,,
3_1537877177705717760,photo,,
3_1537877030947106816,photo,,
3_1537876782174523392,photo,,
3_1537876989729722370,photo,,
3_1537876040588185604,photo,,
3_1537876437465812992,photo,,
3_1537876075178610688,photo,,
3_1537876252870189066,photo,,
3_1537876339235209216,photo,,
3_1537876425151328258,photo,,
3_1537876525676101634,photo,,
3_1537876260193542144,photo,,
3_1537875905577730049,photo,,
3_1537875914079342592,photo,,
