tweetid,author_id,text,created_at,geo,retweets,replies,likes,quote_count,lang,conversation_id,context_annotations,entities,attachments,possibly_sensitive,withheld,reply_settings,source
1534714673441947649,1122498383829250048,"New ​Hair Accessory
Anime Idol Hair in Blonde
R$75
by Krissy3D
https://t.co/TFs6FaGS3E",2022-06-09 01:51:06+00:00,,0,0,0,0,en,1534714673441947649,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '839543165002506240', 'name': 'Anime'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '1280550787207147521', 'name': 'Arts & culture'}}]","{'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/TFs6FaGS3E', 'expanded_url': 'https://roblox.com/catalog/9857892418', 'display_url': 'roblox.com/catalog/985789…'}]}",,False,,everyone,UGC Notifier
1534714673236430850,1122498383829250048,"New ​Hair Accessory
Anime Idol Hair in Black
R$75
by Krissy3D
https://t.co/pmsqchp7o9",2022-06-09 01:51:06+00:00,,0,0,1,0,en,1534714673236430850,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '839543165002506240', 'name': 'Anime'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '1280550787207147521', 'name': 'Arts & culture'}}]","{'urls': [{'start': 62, 'end': 85, 'url': 'https://t.co/pmsqchp7o9', 'expanded_url': 'https://roblox.com/catalog/9857862715', 'display_url': 'roblox.com/catalog/985786…'}]}",,False,,everyone,UGC Notifier
1534714650041909248,1479710239238803457,#royalehigh #roblox #rh #halo #royalehighhalo #royalehighgiveaway #giveaway #rhhalo #rhgiveaway https://t.co/YHA85Dxuwt,2022-06-09 01:51:00+00:00,,2,0,1,0,qht,1534714650041909248,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1230882318224510978', 'name': 'Royale High'}}]","{'hashtags': [{'start': 0, 'end': 11, 'tag': 'royalehigh'}, {'start': 12, 'end': 19, 'tag': 'roblox'}, {'start': 20, 'end': 23, 'tag': 'rh'}, {'start': 24, 'end': 29, 'tag': 'halo'}, {'start': 30, 'end': 45, 'tag': 'royalehighhalo'}, {'start': 46, 'end': 65, 'tag': 'royalehighgiveaway'}, {'start': 66, 'end': 75, 'tag': 'giveaway'}, {'start': 76, 'end': 83, 'tag': 'rhhalo'}, {'start': 84, 'end': 95, 'tag': 'rhgiveaway'}], 'urls': [{'start': 96, 'end': 119, 'url': 'https://t.co/YHA85Dxuwt', 'expanded_url': 'https://twitter.com/dcrlinq_avril/status/1534714436946055168', 'display_url': 'twitter.com/dcrlinq_avril/…'}]}",,False,,everyone,Twitter for iPhone
1534714640634376192,1452251984225087495,Yellow #Roblox #royalehigh #royalehighoutfits https://t.co/x75cvvfvUt,2022-06-09 01:50:58+00:00,,3,0,6,0,en,1534714640634376192,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1230882318224510978', 'name': 'Royale High'}}]","{'hashtags': [{'start': 7, 'end': 14, 'tag': 'Roblox'}, {'start': 15, 'end': 26, 'tag': 'royalehigh'}, {'start': 27, 'end': 45, 'tag': 'royalehighoutfits'}], 'urls': [{'start': 46, 'end': 69, 'url': 'https://t.co/x75cvvfvUt', 'expanded_url': 'https://twitter.com/JoseToque1/status/1534714640634376192/photo/1', 'display_url': 'pic.twitter.com/x75cvvfvUt', 'media_key': '3_1534712710113693696'}, {'start': 46, 'end': 69, 'url': 'https://t.co/x75cvvfvUt', 'expanded_url': 'https://twitter.com/JoseToque1/status/1534714640634376192/photo/1', 'display_url': 'pic.twitter.com/x75cvvfvUt', 'media_key': '3_1534712757865816064'}]}","{'media_keys': ['3_1534712710113693696', '3_1534712757865816064']}",False,,everyone,Twitter Web App
1534714636012032005,1282737881812008960,Getting peoples social media on Roblox be like: https://t.co/mPz5IRahcH,2022-06-09 01:50:57+00:00,,0,1,0,0,en,1534714636012032005,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'annotations': [{'start': 32, 'end': 37, 'probability': 0.4446, 'type': 'Product', 'normalized_text': 'Roblox'}], 'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/mPz5IRahcH', 'expanded_url': 'https://twitter.com/LuisTG22908918/status/1534714636012032005/photo/1', 'display_url': 'pic.twitter.com/mPz5IRahcH', 'media_key': '3_1534714628646764544'}]}",{'media_keys': ['3_1534714628646764544']},False,,everyone,Twitter for iPhone
1534714613035573249,1274893046564425729,Imagine if you could upload gifs to roblox,2022-06-09 01:50:52+00:00,,0,1,1,0,en,1534714613035573249,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]",,,False,,everyone,Twitter for Android
1534714605682958337,1229944303184678912,"👀🫶🏼
#Roblox #RobloxUGC https://t.co/gSHu8YQUu5",2022-06-09 01:50:50+00:00,,5,14,57,0,und,1534714605682958337,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'hashtags': [{'start': 4, 'end': 11, 'tag': 'Roblox'}, {'start': 12, 'end': 22, 'tag': 'RobloxUGC'}], 'urls': [{'start': 23, 'end': 46, 'url': 'https://t.co/gSHu8YQUu5', 'expanded_url': 'https://twitter.com/Lovespunn/status/1534714605682958337/photo/1', 'display_url': 'pic.twitter.com/gSHu8YQUu5', 'media_key': '3_1534714362199519232'}]}",{'media_keys': ['3_1534714362199519232']},False,,everyone,Twitter Web App
1534714596988276737,1323857383777538048,"Have exclusive Hacking jobs?
DM and Ask for my service.
#hacked #icloud #facebookdown #imessage #ransomware #snapchat #snapchatsupport #snapchatleak #hacking #discord #XboxSeriesX #XboxShare #roblox #missingphone
#gmailhack #gmaildown #hacked #Hacking #hackaccount",2022-06-09 01:50:48+00:00,,3,0,0,0,en,1534714596988276737,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10027048851', 'name': 'Xbox'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10029202045', 'name': 'Facebook'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10044977745', 'name': 'Snapchat'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1168499224297656321', 'name': 'Discord'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '1347260913552789506', 'name': 'Apple iMessage'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '898650876658634752', 'name': 'Cybersecurity', 'description': 'Cybersecurity'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1047123725525479425', 'name': 'Information security', 'description': 'Information Security'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}, {'domain': {'id': '79', 'name': 'Video Game Hardware', 'description': 'Video Game Hardware'}, 'entity': {'id': '1205553794106281985', 'name': 'Xbox Series X'}}, {'domain': {'id': '165', 'name': 'Technology', 'description': 'for individual and types of technology, e.g., food technology, 3D printing'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '165', 'name': 'Technology', 'description': 'for individual and types of technology, e.g., food technology, 3D printing'}, 'entity': {'id': '1196446161223028736', 'name': 'Social media'}}]","{'hashtags': [{'start': 56, 'end': 63, 'tag': 'hacked'}, {'start': 64, 'end': 71, 'tag': 'icloud'}, {'start': 72, 'end': 85, 'tag': 'facebookdown'}, {'start': 86, 'end': 95, 'tag': 'imessage'}, {'start': 96, 'end': 107, 'tag': 'ransomware'}, {'start': 108, 'end': 117, 'tag': 'snapchat'}, {'start': 118, 'end': 134, 'tag': 'snapchatsupport'}, {'start': 135, 'end': 148, 'tag': 'snapchatleak'}, {'start': 149, 'end': 157, 'tag': 'hacking'}, {'start': 158, 'end': 166, 'tag': 'discord'}, {'start': 167, 'end': 179, 'tag': 'XboxSeriesX'}, {'start': 180, 'end': 190, 'tag': 'XboxShare'}, {'start': 191, 'end': 198, 'tag': 'roblox'}, {'start': 199, 'end': 212, 'tag': 'missingphone'}, {'start': 213, 'end': 223, 'tag': 'gmailhack'}, {'start': 224, 'end': 234, 'tag': 'gmaildown'}, {'start': 235, 'end': 242, 'tag': 'hacked'}, {'start': 243, 'end': 251, 'tag': 'Hacking'}, {'start': 252, 'end': 264, 'tag': 'hackaccount'}]}",,False,,everyone,Twitter Web App
1534714590805864448,1448379798041022465,@fallingstarshne @honeystormed @lexi_beth_ @3llema0 I wanna play roblox,2022-06-09 01:50:46+00:00,,0,0,2,0,en,1534683616881549314,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'mentions': [{'start': 0, 'end': 16, 'username': 'fallingstarshne', 'id': '899432105301524480'}, {'start': 17, 'end': 30, 'username': 'honeystormed', 'id': '1504040519499980800'}, {'start': 31, 'end': 42, 'username': 'lexi_beth_', 'id': '1429698379618131971'}, {'start': 43, 'end': 51, 'username': '3llema0', 'id': '1443056043064315910'}]}",,False,,everyone,Twitter for iPhone
1534714577765531648,1516542856168574978,@queenbiscuit311 hop on roblox,2022-06-09 01:50:43+00:00,,0,1,3,0,en,1534714577765531648,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'mentions': [{'start': 0, 'end': 16, 'username': 'queenbiscuit311', 'id': '1420794344165056516'}]}",,False,,everyone,Twitter Web App
