userid,username,followers,tweets,profile_desc,location,verified,entities
1370801465686700033,NHqwk,79,123,"hawk ♡
🍓 :: roblox gfx and thumbnail artist
🌷 :: ae editor",Comms Closed,False,
1056053249470541824,Roblox_RTC,457566,24465,It's our mission to be one with the community and make this the best place to be! | We are *NOT* @Roblox! | DM 💌 with new info! | Layout by: @PazeTweets,Following ≠ Endorsement,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/t4QnFMvIXg', 'expanded_url': 'http://rtcnews.ca', 'display_url': 'rtcnews.ca'}]}, 'description': {'mentions': [{'start': 97, 'end': 104, 'username': 'Roblox'}, {'start': 141, 'end': 152, 'username': 'PazeTweets'}]}}"
1483071405990477825,Mr_Candy123,560,5926,"Lost many best friend,
Hard to smile,
Fell so sad",,False,
1255511557477470209,ActiveVivi,23,726,𝐒𝐡𝐞/𝐡𝐞𝐫 ||  Gσαʅ : 100 ||  ᴅɪꜱᴄᴏʀᴅ= ^Vivian^#0529 || Manifesting for lucky21 😔🤞|| Dm to vent 💗,Royale high^^,False,
1496281653391642632,heavensology,1487,680,"⁺ ⠀ ． ⭐ !¡ㆍeiko, 🌙
ㆍ𓂃．我爱你，你爱不爱我？✨

comms r pinned",nswf dni  ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/0wR0C92uOu', 'expanded_url': 'https://www.change.org/p/danayet-x-randy-for-life?utm_content=cl_sharecopy_33455728_en-US%3A7&recrui', 'display_url': 'change.org/p/danayet-x-ra…'}]}}"
1494917756759724045,acatwithanokhat,165,4767,your average idiot | creator of the morbbuck,hell,False,
1442256058169192448,y2_kazoo,15489,6571,beetle demon drawing cartoon funnies | 17 | autistic butch lesbian |character designer & illustrator | dont repost or resell my work EVER | in my batman era,he/they/it,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ZM9c2GkRWy', 'expanded_url': 'https://youtube.com/channel/UC60BUbaqJllinKGn3ensRTw', 'display_url': 'youtube.com/channel/UC60BU…'}]}}"
1490089457512378368,VideoGamer367,1,77,"I like Roblox, Minecraft, and my favortite subject is math.",,False,
1341611944290074624,CallMehMoonn,6502,98718,CEO OF YOUR LIFE ‹3,She/Her,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/f4zOFQ8N3M', 'expanded_url': 'http://snxwmoonn.carrd.co', 'display_url': 'snxwmoonn.carrd.co'}]}}"
995210089656078337,DarkOriginW1,534,26486,"Fuck scammers. #bitcoin #monero
Freedom. Security. Safety.
And yes, i swear alot.",Black hole,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/3qJ9KI55gk', 'expanded_url': 'https://bitcoin.org/en/scams', 'display_url': 'bitcoin.org/en/scams'}]}, 'description': {'hashtags': [{'start': 15, 'end': 23, 'tag': 'bitcoin'}, {'start': 24, 'end': 31, 'tag': 'monero'}]}}"
3031071234,TeamYouTube,1434696,1792647,"the team behind YouTube, here to help: english, español, português, deutsch, français, pусский, 日本語, bahasa","San Bruno, CA",True,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/CYCq6XplWl', 'expanded_url': 'https://support.google.com/youtube', 'display_url': 'support.google.com/youtube'}]}}"
1369565965353021444,GaberWeiy,2,358,,,False,
1187783840732979200,Matheus57631644,18,282,I play some games.,Brasil,False,
1371678812010856449,PurpleCorporat1,104,785,A youtube channel with a goal of reaching 1k subs! https://t.co/XVakRWqqQO…,,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/dj0EQKnHmJ', 'expanded_url': 'https://www.youtube.com/channel/UCtEiOgpqyBu8b48NKHGMXSw', 'display_url': 'youtube.com/channel/UCtEiO…'}]}, 'description': {'urls': [{'start': 51, 'end': 74, 'url': 'https://t.co/XVakRWqqQO', 'expanded_url': 'http://youtube.com/channel/UCtEiO', 'display_url': 'youtube.com/channel/UCtEiO'}]}}"
1310688804441817088,Parlo_ROBLOX,4779,933,"@ftderpy made the pfp
THE MARVEL SUPERVILLIAN OF THE RTC",,False,"{'description': {'mentions': [{'start': 0, 'end': 8, 'username': 'ftderpy'}]}}"
1512791237807509505,OfficialpcMrRac,2,15,,,False,
765056158914654208,comelycanseco,300,6947,I believe in josie canseco supremacy,,False,
1273016858812264453,ItsJAXkae,3763,28397,Youtuber/Voice Actress/Owner of Purplex Homestore/AG & Mom/Positivity Quote Poster 🇺🇸 Be true to yourself! 💜✌🏼 Business inquiries: itsJAXkae@Gmail.com 💌,Purple Palace ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/b9hgzB3svI', 'expanded_url': 'https://www.youtube.com/channel/UCPebY9hx4CYKmyFe8Hnvq8w', 'display_url': 'youtube.com/channel/UCPebY…'}]}}"
1434340524995989509,CheeseWasEaten_,18,568,"Hello there, I post meaningless tweets that nobody cares about.",Earth,False,
1392822233421295618,AbdelrhmanDabb1,2,57,,,False,
1077304651865825282,LugicalDev,178,970,apparently i still do things,"NoLife, USA",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/nFPdsafukZ', 'expanded_url': 'https://discord.com/invite/eAv4feJ', 'display_url': 'discord.com/invite/eAv4feJ'}]}}"
1468419882446655492,ForGlory_RBLX,12,18,"Rewrite the history of the Viking Ages, as kingdoms fall, battles begin, & new worlds emerge in this upcoming, immersive MMORPG. Only on @Roblox.",Roblox | The Metaverse,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ycQ22vMleT', 'expanded_url': 'https://discord.gg/RrZaA7rtp5', 'display_url': 'discord.gg/RrZaA7rtp5'}]}, 'description': {'mentions': [{'start': 137, 'end': 144, 'username': 'Roblox'}]}}"
856650515874172928,robloxdevrel,618634,2200,"Empowering developers & creators to bring their imagination to life #RobloxDev 

For support go to https://t.co/jqWhIsyHWa",,True,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/waS7ODkUxJ', 'expanded_url': 'http://developer.roblox.com/', 'display_url': 'developer.roblox.com'}]}, 'description': {'urls': [{'start': 99, 'end': 122, 'url': 'https://t.co/jqWhIsyHWa', 'expanded_url': 'http://rblx.co/help', 'display_url': 'rblx.co/help'}], 'hashtags': [{'start': 68, 'end': 78, 'tag': 'RobloxDev'}]}}"
1497638192253706243,yarousheee,3,297,"r: yarousheee 
snappy: yarousheee

sending love to all positive ppl! 💞🤲",,False,
1483545958516506625,_TheRecommender,2,123,sup,,False,
964409632889307137,zhijieyaolim,9,649,"Hello, please subscribe to my youtube channel about Roblox

https://t.co/HovIYvJjty",,False,"{'description': {'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/HovIYvJjty', 'expanded_url': 'https://www.youtube.com/channel/UCmiH6zZtle-kS00jmvHB7YA', 'display_url': 'youtube.com/channel/UCmiH6…'}]}}"
1183722104841129984,stones_stones8,36,534,tweeting trending stuff on this website (drama too),bredland,False,
1502597813578133505,Bread_YT6000,1,15,b r e a d,,False,
826202021623640065,RobloxianHS,45164,2620,"Create & sell awesome avatars, design your dream house, own cool cars and build your own world! Developed by @RedMantaStudio.",Robloxia,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/yPCcsvE0lF', 'expanded_url': 'http://playrhs.com', 'display_url': 'playrhs.com'}]}, 'description': {'mentions': [{'start': 109, 'end': 124, 'username': 'RedMantaStudio'}]}}"
1419436624778305536,Galaxy_Bagel711,3,639,,,False,
